condition,requested_Unity_seed,action_seed,training_decisions,decisions,raw_score,score_high_water,task_events,delivered_return,zero_progress,q_mean,q_min,q_max,valid_pairs,eligible_pairs,pair_coverage,horizon_pair_coverage,invalid_warmup_decisions,missing_eligible_pairs,success_completion,terminated,truncated,end_reason,worker_wall_seconds,observed_loop_seconds,nonloop_overhead_seconds,trajectory_sha256,config_sha256,checkpoint_sha256,events_path
TASK,3001,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,10.435555837997526,4.537135352002224,5.898420485995302,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3001/events.jsonl
TASK,3002,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.325386427000922,4.356649505003588,3.9687369219973334,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3002/events.jsonl
TASK,3003,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.912475172997802,3.938234276000003,3.9742408969977987,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3003/events.jsonl
TASK,3004,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.898189592000563,3.864552389997698,4.033637202002865,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3004/events.jsonl
TASK,3005,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.523333236997132,4.743331302997831,3.7800019339993014,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3005/events.jsonl
TASK,3006,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.647945714001253,4.77396392999799,3.873981784003263,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3006/events.jsonl
TASK,3007,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.379731406996143,4.620041401001799,3.7596900059943437,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3007/events.jsonl
TASK,3008,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.801705530000618,4.893797076998453,3.9079084530021646,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3008/events.jsonl
TASK,3009,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.865735182000208,4.831648059996951,4.034087122003257,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3009/events.jsonl
TASK,3010,,51200,600,0.0,0.0,0.0,0.0,True,0.2771210379538286,0.02890050681285241,0.7013393475352717,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,9.513095843001793,4.424534353005583,5.088561489996209,9bcac26cb98c94b58edc002be98199ab840b8061998d723a63ce5542b8f66374,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,6dfc8c9319fb15d65dfa9f76d29119f1f3240d72e5b82b349b5c31c2b9427e97,runs/P1-TASK/attempt-01/evaluate-3010/events.jsonl
