condition,episode,actual_decisions_at_end,decisions,task_return,delivered_return,raw_score,pairs,end_reason
TASK,1,600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,2,1200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,3,1800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,4,2400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,5,3000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,6,3600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,7,4200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,8,4800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,9,5400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,10,6000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,11,6600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,12,7200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,13,7800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,14,8400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,15,9000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,16,9600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,17,10200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,18,10800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,19,11400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,20,12000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,21,12600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,22,13200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,23,13800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,24,14400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,25,15000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,26,15600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,27,16200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,28,16800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,29,17400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,30,18000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,31,18600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,32,19200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,33,19800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,34,20400,600,1.0,1.0,1.0,39,wrapper_decision_limit
TASK,35,21000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,36,21600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,37,22200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,38,22800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,39,23400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,40,24000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,41,24600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,42,25200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,43,25800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,44,26400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,45,27000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,46,27600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,47,28200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,48,28800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,49,29400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,50,30000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,51,30600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,52,31200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,53,31800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,54,32400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,55,33000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,56,33600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,57,34200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,58,34800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,59,35400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,60,36000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,61,36600,600,1.0,1.0,1.0,39,wrapper_decision_limit
TASK,62,37200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,63,37800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,64,38400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,65,39000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,66,39600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,67,40200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,68,40800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,69,41400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,70,42000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,71,42600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,72,43200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,73,43800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,74,44400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,75,45000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,76,45600,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,77,46200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,78,46800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,79,47400,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,80,48000,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,81,48600,600,1.0,1.0,1.0,39,wrapper_decision_limit
TASK,82,49200,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,83,49800,600,0.0,0.0,0.0,39,wrapper_decision_limit
TASK,84,50400,600,1.0,1.0,1.0,39,wrapper_decision_limit
TASK,85,51000,600,1.0,1.0,1.0,39,wrapper_decision_limit
TASK,86,51200,200,0.0,0.0,0.0,12,collection_budget_fragment
MAX,1,600,600,1.0,16.858964048463672,1.0,39,wrapper_decision_limit
MAX,2,1200,600,0.0,14.89891278705511,0.0,39,wrapper_decision_limit
MAX,3,1800,600,0.0,16.918321663063736,0.0,39,wrapper_decision_limit
MAX,4,2400,600,0.0,14.959287820277943,0.0,39,wrapper_decision_limit
MAX,5,3000,600,0.0,16.830768215744676,0.0,39,wrapper_decision_limit
MAX,6,3600,600,0.0,13.321958435265111,0.0,39,wrapper_decision_limit
MAX,7,4200,600,0.0,14.54314346137383,0.0,39,wrapper_decision_limit
MAX,8,4800,600,0.0,14.9438216950234,0.0,39,wrapper_decision_limit
MAX,9,5400,600,0.0,16.673660012642113,0.0,39,wrapper_decision_limit
MAX,10,6000,600,0.0,16.198438289797313,0.0,39,wrapper_decision_limit
MAX,11,6600,600,0.0,16.095403939388376,0.0,39,wrapper_decision_limit
MAX,12,7200,600,0.0,16.239443207531288,0.0,39,wrapper_decision_limit
MAX,13,7800,600,0.0,17.14001699819861,0.0,39,wrapper_decision_limit
MAX,14,8400,600,0.0,15.230163580892624,0.0,39,wrapper_decision_limit
MAX,15,9000,600,0.0,14.457366968258587,0.0,39,wrapper_decision_limit
MAX,16,9600,600,0.0,16.547775720047206,0.0,39,wrapper_decision_limit
MAX,17,10200,600,0.0,14.38216423210571,0.0,39,wrapper_decision_limit
MAX,18,10800,600,0.0,14.636724871515023,0.0,39,wrapper_decision_limit
MAX,19,11400,600,0.0,16.97321893611722,0.0,39,wrapper_decision_limit
MAX,20,12000,600,0.0,15.873049701960266,0.0,39,wrapper_decision_limit
MAX,21,12600,600,1.0,16.45515550751197,1.0,39,wrapper_decision_limit
MAX,22,13200,600,0.0,15.735750904427535,0.0,39,wrapper_decision_limit
