original_name,historical_path,new_identity,description
Cluster_0_classifier_preferences_linear_0.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_0.pkl,preference_model_member_0,Frozen LogisticRegression member for preference model
Cluster_0_classifier_preferences_linear_1.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_1.pkl,preference_model_member_1,Frozen LogisticRegression member for preference model
Cluster_0_classifier_preferences_linear_2.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_2.pkl,preference_model_member_2,Frozen LogisticRegression member for preference model
Cluster_0_classifier_preferences_linear_3.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_3.pkl,preference_model_member_3,Frozen LogisticRegression member for preference model
Cluster_0_classifier_preferences_linear_4.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_4.pkl,preference_model_member_4,Frozen LogisticRegression member for preference model
Cluster_0_classifier_preferences_linear_scaler_0.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_scaler_0.pkl,preference_model_scaler_0,Frozen MinMaxScaler for preference model member
Cluster_0_classifier_preferences_linear_scaler_1.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_scaler_1.pkl,preference_model_scaler_1,Frozen MinMaxScaler for preference model member
Cluster_0_classifier_preferences_linear_scaler_2.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_scaler_2.pkl,preference_model_scaler_2,Frozen MinMaxScaler for preference model member
Cluster_0_classifier_preferences_linear_scaler_3.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_scaler_3.pkl,preference_model_scaler_3,Frozen MinMaxScaler for preference model member
Cluster_0_classifier_preferences_linear_scaler_4.pkl,affectively/models/solid/classifier/Linear/Cluster_0_classifier_preferences_linear_scaler_4.pkl,preference_model_scaler_4,Frozen MinMaxScaler for preference model member
runtime_evidence.tar.gz,session6/runtime_evidence.tar.gz,assets/reference_archives/checkpoint_check.tar.gz,Hashed historical evidence archive; extraction under outputs/reference preserves internal source identities
TASK_runtime_evidence.tar.gz,session7_8/TASK_runtime_evidence.tar.gz,assets/reference_archives/task_baseline.tar.gz,Hashed historical evidence archive; extraction under outputs/reference preserves internal source identities
MAX_runtime_evidence.tar.gz,session7_8/MAX_runtime_evidence.tar.gz,assets/reference_archives/max_support_baseline.tar.gz,Hashed historical evidence archive; extraction under outputs/reference preserves internal source identities
RANDOM_runtime_evidence.tar.gz,session9/RANDOM_runtime_evidence.tar.gz,assets/reference_archives/random_baseline.tar.gz,Hashed historical evidence archive; extraction under outputs/reference preserves internal source identities
feature_semantics_evidence,phase1/session4/estimator_audit.json,evidence/provenance/estimator_semantics.json,Purpose-named repository artifact; historical source identities retained in provenance
baseline_source,phase1/session6/baseline.py,notebooks/library/environment_adapter.ipynb,Purpose-named repository artifact; historical source identities retained in provenance
runtime_source,phase1/session6/runtime.py,notebooks/library/unity_runtime.ipynb,Purpose-named repository artifact; historical source identities retained in provenance
native_source_archive,phase1/session6/source_tree_session6.tar.gz,upstream/corrected_native_source.tar.gz,Purpose-named repository artifact; historical source identities retained in provenance
environment_manifest,phase1/02_environment_manifest.json,evidence/provenance/historical_environment.json,Purpose-named repository artifact; historical source identities retained in provenance
timing_manifest,phase1/session5/static_contract.json,evidence/provenance/timing_contract.json,Purpose-named repository artifact; historical source identities retained in provenance
model_scaler_manifest,phase1/source_snapshot/provenance_2026-09-12T061645Z/selected_demo_model_and_scalers.json,evidence/provenance/model_data_manifest.json,Purpose-named repository artifact; historical source identities retained in provenance
