trace_id,condition,split,stage,episode,requested_Unity_seed,action_sampler_seed,policy_initialization_seed,decisions,valid_pairs,q_min,q_median,q_max,q_mean,pairs_with_any_clipping,task_events,raw_final_score,terminated,truncated,end_reason,pair_sequence_sha256,config_sha256,source_sha256
P1-TASK/attempt-01/train/episode-1,TASK,training,train,1,2101,,1101,600,39,0.10102500426634879,0.36715420746807936,0.5181216125156126,0.36948971573839023,0,0.0,0.0,False,True,wrapper_decision_limit,49d5c34bb9a83259c487207cf32d9637dc8572270c38195a82a2c1a8d09280e3,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-2,TASK,training,train,2,2101,,1101,600,39,0.08575692515188763,0.3991034127037759,0.6772439541828822,0.3981584580909905,2,0.0,0.0,False,True,wrapper_decision_limit,d077526a30bd0759e72fd15a32b8bfb4941edfe1becd5d045ce0e6fa59ede830,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-3,TASK,training,train,3,2101,,1101,600,39,0.060004421532656636,0.4116527038503153,0.6489712633941985,0.40853809414826264,2,0.0,0.0,False,True,wrapper_decision_limit,faabbb229072b125a11563f40745ab1e989e4918dec0126b786037f0e742bdcb,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-4,TASK,training,train,4,2101,,1101,600,39,0.11640226092189805,0.38005261267890933,0.6265415334095542,0.3814688891857001,1,0.0,0.0,False,True,wrapper_decision_limit,bcd2e278c4aac032ce7c0abdcdbf5ffb41df791f7f5b725bf4bba0b8b81c7de7,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-5,TASK,training,train,5,2101,,1101,600,39,0.09325270799524255,0.3607050327971339,0.5705772244226788,0.370263556723195,0,0.0,0.0,False,True,wrapper_decision_limit,9f322870b399d37b559728db59600f257359dbec1ab7f348fcda47797c345706,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-6,TASK,training,train,6,2101,,1101,600,39,0.08678771050360193,0.4481333897836571,0.7668800133621143,0.45456902800590737,3,0.0,0.0,False,True,wrapper_decision_limit,07e22e8e5c128f0ec78dc179d2e77862c3eb2535c9bd62e5a171ce1069ff411c,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-7,TASK,training,train,7,2101,,1101,600,39,0.11668143289586204,0.33818335931900834,0.6401806612251895,0.3629774468879289,0,0.0,0.0,False,True,wrapper_decision_limit,3f7970a8d47ca319b26aaa210cf08c6af5f33aeb334fe2c0e7485ff928b3ddc8,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-8,TASK,training,train,8,2101,,1101,600,39,0.18603312064683986,0.3599753038774184,0.5791710464655241,0.36860211943948407,0,0.0,0.0,False,True,wrapper_decision_limit,6a4d195cb911efdd53ea07959a65b41170a0dcc189b0c9be3904bdfc7c55f1b9,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-9,TASK,training,train,9,2101,,1101,600,39,0.05747736814622371,0.3466750131928727,0.5423713809316707,0.3423494941495941,0,0.0,0.0,False,True,wrapper_decision_limit,61ad681a2419e5c0d257e67218922f0f1da40e6d3990d07d6da8e6e52309ab8c,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
P1-TASK/attempt-01/train/episode-10,TASK,training,train,10,2101,,1101,600,39,0.05974385208679826,0.4195090165569285,0.5807442197718411,0.39322439799313447,2,0.0,0.0,False,True,wrapper_decision_limit,97769717e1db66b64ec49475caf4b10a00e70152512f2712bfdbfa83c74f2e4b,a6014b95bf989af9bbacd663fa7df196e1bbc243774c185eb45a61d74199699d,f8e1a8ced739f52a900d8e579e96becdb45b986f1789d0666f5aa1a3362a919d
